Stacja,Data,Zachmurzenie,Wilgotność,Opad,Temperatura średnia,Temperatura minimalna,Temperatura maksymalna,Ciśnienie,Liczba plam słonecznych,Odchylenie standardowe,Liczba obserwacji,HNSE,VNSE,Dostępność (Availability),Liczba zdarzeń nieciągłości (events of discontinuity),HNSE,VNSE,Dostępność (Availability),Liczba zdarzeń nieciągłości (events of discontinuity)
350190566KRAKÓW-BALICE,1/1/2014,7.80,100.00,0.09,-0.60,-1.10,0.80,990.50,124.00,6.20,13.00,2.96,4.22,1.00,0.00,2.98,4.23,1.00,621.00
350190566KRAKÓW-BALICE,1/2/2014,6.10,97.60,0.09,-1.80,-6.90,2.90,984.90,133.00,7.80,11.00,3.00,4.65,1.00,1.00,2.99,4.65,1.00,927.00
350190566KRAKÓW-BALICE,1/3/2014,3.90,95.00,0.09,1.30,-2.50,9.20,986.70,153.00,8.10,10.00,2.68,4.96,1.00,0.00,2.67,4.92,1.00,6.00
350190566KRAKÓW-BALICE,1/4/2014,6.00,97.30,3.40,1.50,-3.40,6.10,986.80,136.00,11.60,8.00,3.25,5.05,0.95,2.00,3.26,4.92,1.00,496.00
350190566KRAKÓW-BALICE,1/5/2014,7.50,95.30,0.90,6.80,3.20,8.90,979.00,134.00,11.30,14.00,2.90,3.68,1.00,0.00,2.90,3.69,1.00,445.00
350190566KRAKÓW-BALICE,1/6/2014,4.50,92.10,0.09,4.60,0.70,8.80,988.90,167.00,11.50,15.00,3.21,4.20,0.94,1.00,3.22,4.11,1.00,368.00
350190566KRAKÓW-BALICE,1/7/2014,4.60,98.50,0.09,0.90,-2.30,6.20,990.80,140.00,10.20,15.00,3.03,3.93,0.98,2.00,2.91,4.07,0.93,1.00
350190566KRAKÓW-BALICE,1/8/2014,3.90,93.30,0.09,3.40,-2.70,9.80,992.00,107.00,7.40,16.00,3.07,3.99,1.00,0.00,3.07,3.98,1.00,399.00
350190566KRAKÓW-BALICE,1/9/2014,5.10,97.40,5.40,3.20,-1.30,7.70,986.60,120.00,9.70,12.00,2.57,4.07,1.00,1.00,2.59,4.06,1.00,329.00
350190566KRAKÓW-BALICE,1/10/2014,7.30,80.10,0.20,5.80,3.40,7.20,982.60,137.00,7.90,19.00,3.08,3.56,1.00,0.00,3.07,3.53,1.00,865.00
350190566KRAKÓW-BALICE,1/11/2014,6.60,70.40,1.50,4.20,1.40,7.20,987.60,142.00,9.90,13.00,2.82,4.14,1.00,6.00,2.82,4.12,1.00,6.00
350190566KRAKÓW-BALICE,1/12/2014,6.90,73.50,0.10,3.40,1.80,6.20,987.10,133.00,6.30,20.00,2.63,5.19,1.00,0.00,2.62,5.21,1.00,720.00
350190566KRAKÓW-BALICE,1/13/2014,5.90,76.30,0.09,1.00,-1.90,3.80,987.70,117.00,8.40,16.00,2.90,4.22,1.00,0.00,2.93,4.20,1.00,923.00
350190566KRAKÓW-BALICE,1/14/2014,6.60,96.80,6.70,-0.70,-4.30,2.10,982.00,96.00,6.10,9.00,2.84,3.66,1.00,2.00,2.83,3.66,1.00,1.00
350190566KRAKÓW-BALICE,1/15/2014,7.90,95.80,0.10,2.10,1.10,3.60,980.50,93.00,5.10,9.00,2.48,3.48,1.00,0.00,2.51,3.60,1.00,565.00
350190566KRAKÓW-BALICE,1/16/2014,7.10,88.90,0.09,2.30,0.40,6.20,983.30,80.00,4.70,9.00,2.50,3.49,1.00,0.00,2.53,3.59,1.00,662.00
350190566KRAKÓW-BALICE,1/17/2014,6.90,89.00,0.90,3.00,-1.10,8.60,979.10,74.00,5.50,16.00,2.61,3.71,1.00,0.00,2.61,3.69,1.00,691.00
350190566KRAKÓW-BALICE,1/18/2014,7.90,99.80,3.60,3.60,1.90,4.90,982.30,116.00,7.80,16.00,2.55,3.53,1.00,0.00,2.55,3.45,1.00,833.00
350190566KRAKÓW-BALICE,1/19/2014,8.00,100.00,3.20,3.90,2.90,5.20,980.00,110.00,6.60,13.00,2.51,3.67,1.00,0.00,2.51,3.66,1.00,716.00
350190566KRAKÓW-BALICE,1/20/2014,8.00,99.10,5.50,1.10,0.20,4.20,977.40,133.00,5.90,7.00,2.36,4.00,1.00,2.00,2.32,4.03,1.00,6.00
350190566KRAKÓW-BALICE,1/21/2014,8.00,99.50,2.40,-1.70,-2.70,0.20,979.50,129.00,8.90,7.00,2.60,4.44,1.00,1.00,2.59,4.43,1.00,1.00
350190566KRAKÓW-BALICE,1/22/2014,8.00,94.80,0.30,-5.10,-6.00,-2.60,985.50,154.00,9.60,15.00,2.90,4.11,1.00,2.00,2.84,4.07,1.00,2.00
350190566KRAKÓW-BALICE,1/23/2014,8.00,92.10,0.10,-6.30,-6.70,-5.90,990.80,146.00,10.60,14.00,2.99,4.18,1.00,0.00,2.96,4.16,1.00,433.00
350190566KRAKÓW-BALICE,1/24/2014,8.00,90.60,0.00,-8.60,-11.00,-5.80,990.40,116.00,7.00,15.00,3.17,3.76,1.00,0.00,3.21,3.81,1.00,549.00
350190566KRAKÓW-BALICE,1/25/2014,7.80,86.80,3.20,-12.90,-13.60,-10.90,991.10,100.00,5.50,8.00,2.66,4.05,1.00,0.00,2.70,4.13,1.00,731.00
350190566KRAKÓW-BALICE,1/26/2014,6.90,89.10,0.20,-11.20,-13.00,-8.90,984.70,97.00,9.90,12.00,2.98,4.94,1.00,0.00,2.98,4.95,1.00,1082.00
